"ResourceTypeGeneral","ResourceType","Count"
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm winter semester 20202021",16
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communication iitm summer semester 2018",16
"text","text in a blog format",16
"text","transcript",16
"text","unav",16
"other","anschutzwork",15
"other","artículo de periódico",15
"other","beitrag zu einem periodikum",15
"other","book section",15
"other","dnp student project",15
"other","erratum",15
"other","figure",15
"other","instance",15
"other","policy",15
"other","projectcomponent",15
"other","series",15
"other","tesis doctorado  doctoral thesis",15
"other","thesis phd  exegesis",15
"text","annet",15
"text","article de recherche empirique",15
"text","artykuł",15
"text","chapter book",15
"text","conferenceproceeding",15
"text","data management plan",15
"text","dataset description",15
"text","exercises",15
"text","extabstract",15
"text","institutsbroschüre",15
"text","magazine section",15
"text","masterarbeitmaster thesis",15
"text","textworkshops",15
"text","thesismaster",15
"other","book summary",14
"other","congresses",14
"other","data set",14
"other","historical article",14
"other","learning resource",14
"other","music",14
"other","obeliscus",14
"other","report section",14
"other","thesis postgraduate diploma",14
"other","thesis sjd",14
"other","zestaw danych",14
"text","applicationforcedownload",14
"text","article from the conference proceedings of changements et transitions enjeux pour les éducations à lenvironnement et au développement durable 78 novembre 2017 université toulouse jean jaurès et 9 novembre 2017 ecole nationale supérieure de formation de lenseignement agricole à castanettolosan",14
"text","beitrag zu periodikum",14
"text","contribution to journal article",14
"text","datenblatt",14
"text","dissertationphd thesis",14
"text","dokumentationdocumentation",14
"text","lifbi fact sheet datenschutz in sozialwissenschaftlichen erhebungen",14
"text","patents",14
"text","report of investigations",14
"text","thesaurus",14
"text","xml",14
"other","capítulo de libro",13
"other","carnet de fouilles",13
"other","carnet dinventaire",13
"other","compterendu",13
"other","correspondance",13
"other","course",13
"other","curriculum",13
"other","eac policy",13
"other","proposal",13
"other","realia",13
"other","recording oral",13
"other","research article",13
"other","riviste editoriali",13
"other","support de cours cm  ed  tp",13
"other","text manuscrit correspondance",13
"text","06  präsentation",13
"text","applied research",13
"text","archivo alicia kozameh obras creaciones producción poesía",13
"text","bookeditor",13
"text","code essay",13
"text","congress",13
"text","d1  technical reports nonconfidential",13
"text","datensammlung",13
"text","description",13
"text","discours",13
"text","memorandum",13
"text","proceedings komplette ausgabe einer konferenz etc",13
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm summer semester 2022",13
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm winter semester 20222023",13
"text","proceedings of the seminar sensor nodes operation network and application summer semester 2011",13
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communications iitm winter semester 20142015",13
"text","property records",13
"text","scoping review protocol",13
"text","sop",13
"text","studentresarchproject",13
"text","taxonomic treatment for the flora of new zealand",13
"text","textconference abstract",13
"other","04  beitrag sammelband oder konferenzschrift",12
"other","anthology",12
"other","brochure",12
"other","contributi in atti di convegno",12
"other","contributi in monografia",12
"other","handbooks",12
"other","httppurlorgdcdcmitypetext",12
"other","księgarnia wydawnictwa ujk",12
"other","lectures",12
"other","manual",12
"other","method",12
"other","quaderni dipartimento",12
"other","repository",12
"other","revues",12
"other","roadmap chapter",12
"other","réglementation",12
"other","tableau thematique",12
"other","thesis 3mt",12
"text","27juni  01juli 2022",12
"text","advice text",12
"text","arbeitspapier workingpaper",12
"text","bachelorsthesis",12
"text","chapitre ouvrage",12
"text","collectedworks",12
"text","contribution to journal  special issue",12
"text","datacentric research object",12
"text","datensatz",12
"text","disclosure",12
"text","discussion paperdiscussion paper",12
"text","elicitation",12
"text","factsheet",12
"text","forschungsbericht",12
"text","guidelines",12
"text","individual data",12
"text","magazine",12
"text","predigt",12
"text","proceedings of the seminar innovative internet technologies and mobile communications iitm winter semester 20192020",12
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communications iitm winter semester 20102011",12
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communications iitm winter semester 20122013",12
"text","tutorial",12
"text","xsd code",12
"text","книга",12
"other","07  audio oder videomaterial",11
"other","13  ausstellung",11
"other","abstracts",11
"other","bibliography",11
"other","dossier thématique",11
"other","enquête",11
"other","misc",11
"other","patent norm standard",11
"other","policy note",11
"other","serial",11
"other","symposium presentation",11
"text","05  forschungs oder arbeitsbericht",11
"text","coursematerial",11
"text","current research reusults for scientific discussion",11
"text","dictionary",11
"text","grey literature",11
"text","musicalcomposition",11
"text","musicalnotation",11
"text","other kind of textbook",11
"text","practiceoriented and policy consulting presentation of current project results",11
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communication iitm summer semester 2017",11
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communications iitm summer semester 2015",11
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communications iitm winter semester 20132014",11
"text","prüfbericht",11
"text","research methodology",11
"text","researchmaterial",11
"text","stimuli",11
"text","studyregistration",11
"text","technical requirements",11
"text","worksheet",11
"text","магистерская диссертация",11
"other","capstone project",10
"other","contexte",10
"other","extended legend",10
"other","feature",10
"other","photograph",10
"other","preprint",10
"other","service",10
"other","web based content",10
"other","web published article",10
"other","workshop summary",10
"text","anthology",10
"text","bookkeeping records",10
"text","comic book",10
"text","exhibition object labels",10
"text","journalvolume",10
"text","legal response",10
"text","letter to the editor",10
"text","memorandums",10
"text","military records",10
"text","neps bericht corona",10
"text","proceedings of the seminars future internet fi and innovative internet technologies and mobile communications iitm summer semester 2016",10
"text","senior thesis minor",10
"text","short communication",10
"text","stammbuch",10
"text","tagebuch",10
"text","textpraxisbeiträge",10
"text","textresearch paper",10
"text","transcriptions dentretiens",10
"text","материалы конференции",10
"text","практическое пособие",10
"text","словарь",10
"other","14  ausstellungsbeitrag",9
"other","bookmonograph",9
"other","brochures numérisations",9
"other","carte carte thématique image typologie qualitative",9
"other","chart",9
"other","diploma thesis",9
"other","diverses",9
"other","eac policy brief on aflatoxin prevention and control",9
"other","eac protocol",9
"other","handbook",9
"other","hochschulschrift",9
"other","manuskript bok",9
"other","manuskript kart",9
"other","multimedia",9
"other","person",9
"other","research tool",9
"other","software",9
"other","supplement",9
"other","teil einer dynamischen ressource",9
"other","trykt bok",9
"text","01b  beitrag in magazin oder zeitung",9
"text","archivo julio cortázar carpeta 03  estudios de conjunto breves",9
"text","archivo julio cortázar carpeta 12 rayuela  crítica en español",9
"text","arthropod systematics  phylogeny electronic supplement",9
"text","bachelorarbeitbachelor thesis",9
"text","beitrag in wissenschaftlicher zeitschrift",9
"text","beitrag zu einem periodikum",9
"text","brochure",9
"text","capstone thesis",9
"text","chapitre livre",9
"text","conference publication",9
"text","crenobalneotherapy and covid19",9
"text","data article",9
"text","dispatches",9
"text","entry for dictionary",9
"text","event item",9
"text","field notes",9
"text","geologica saxonica scientific article",9
"text","konferenzbandconference proceedings",9
"text","kurzbeschreibungshort description",9
"text","manuskript protokoll tekst",9
